Ward,Precinct,Total Votes,Pritzker,JBP%,Rauner,BR%,Jackson,GKJ%,McCann,SM%,Registered_Voters,Ballots Cast,Turnout %
1,1,577.00,488.00,84.58,53.00,9.19,24.00,4.16,12.00,2.08,862.00,594.00,68.91
1,2,470.00,421.00,89.57,32.00,6.81,14.00,2.98,3.00,0.64,811.00,482.00,59.43
1,3,648.00,549.00,84.72,87.00,13.43,10.00,1.54,2.00,0.31,881.00,658.00,74.69
1,4,628.00,503.00,80.10,98.00,15.61,22.00,3.50,5.00,0.80,920.00,639.00,69.46
1,5,655.00,550.00,83.97,91.00,13.89,11.00,1.68,3.00,0.46,826.00,663.00,80.27
1,6,558.00,442.00,79.21,101.00,18.10,12.00,2.15,3.00,0.54,836.00,566.00,67.70
1,7,406.00,339.00,83.50,54.00,13.30,11.00,2.71,2.00,0.49,577.00,415.00,71.92
1,8,505.00,411.00,81.39,83.00,16.44,7.00,1.39,4.00,0.79,751.00,535.00,71.24
1,9,448.00,376.00,83.93,52.00,11.61,18.00,4.02,2.00,0.45,631.00,486.00,77.02
1,10,741.00,589.00,79.49,138.00,18.62,11.00,1.48,3.00,0.40,"1,018.00",751.00,73.77
1,11,667.00,535.00,80.21,109.00,16.34,14.00,2.10,9.00,1.35,853.00,678.00,79.48
1,12,669.00,539.00,80.57,112.00,16.74,13.00,1.94,5.00,0.75,"1,004.00",675.00,67.23
1,13,256.00,216.00,84.38,32.00,12.50,8.00,3.13,0.00,0.00,388.00,263.00,67.78
1,14,537.00,443.00,82.50,77.00,14.34,16.00,2.98,1.00,0.19,721.00,550.00,76.28
1,15,513.00,424.00,82.65,78.00,15.20,10.00,1.95,1.00,0.19,776.00,520.00,67.01
1,16,665.00,581.00,87.37,68.00,10.23,14.00,2.11,2.00,0.30,931.00,677.00,72.72
1,17,480.00,428.00,89.17,39.00,8.13,8.00,1.67,5.00,1.04,754.00,491.00,65.12
1,18,527.00,476.00,90.32,38.00,7.21,12.00,2.28,1.00,0.19,840.00,546.00,65.00
1,19,641.00,555.00,86.58,70.00,10.92,12.00,1.87,4.00,0.62,896.00,659.00,73.55
1,20,446.00,392.00,87.89,37.00,8.30,15.00,3.36,2.00,0.45,651.00,452.00,69.43
1,21,782.00,645.00,82.48,120.00,15.35,13.00,1.66,4.00,0.51,"1,009.00",785.00,77.80
1,22,369.00,321.00,86.99,36.00,9.76,11.00,2.98,1.00,0.27,557.00,374.00,67.15
1,23,765.00,679.00,88.76,62.00,8.10,21.00,2.75,3.00,0.39,"1,004.00",780.00,77.69
1,24,488.00,442.00,90.57,33.00,6.76,10.00,2.05,3.00,0.61,914.00,500.00,54.70
1,25,555.00,481.00,86.67,58.00,10.45,13.00,2.34,3.00,0.54,847.00,569.00,67.18
1,26,343.00,304.00,88.63,26.00,7.58,9.00,2.62,4.00,1.17,713.00,354.00,49.65
1,27,608.00,496.00,81.58,89.00,14.64,19.00,3.13,4.00,0.66,888.00,616.00,69.37
1,28,160.00,147.00,91.88,9.00,5.63,1.00,0.63,3.00,1.88,314.00,167.00,53.18
1,29,677.00,562.00,83.01,87.00,12.85,23.00,3.40,5.00,0.74,879.00,686.00,78.04
1,30,597.00,527.00,88.27,51.00,8.54,14.00,2.35,5.00,0.84,927.00,612.00,66.02
1,31,520.00,420.00,80.77,76.00,14.62,22.00,4.23,2.00,0.38,864.00,552.00,63.89
1,32,546.00,426.00,78.02,100.00,18.32,14.00,2.56,6.00,1.10,795.00,562.00,70.69
1,33,654.00,523.00,79.97,113.00,17.28,11.00,1.68,7.00,1.07,949.00,666.00,70.18
1,34,445.00,383.00,86.07,47.00,10.56,14.00,3.15,1.00,0.22,663.00,455.00,68.63
1,35,700.00,558.00,79.71,114.00,16.29,26.00,3.71,2.00,0.29,"1,032.00",707.00,68.51
1,36,594.00,462.00,77.78,117.00,19.70,11.00,1.85,4.00,0.67,842.00,603.00,71.62
1,37,585.00,449.00,76.75,112.00,19.15,18.00,3.08,6.00,1.03,846.00,593.00,70.09
1,38,529.00,434.00,82.04,66.00,12.48,22.00,4.16,7.00,1.32,767.00,554.00,72.23
1,39,497.00,418.00,84.10,67.00,13.48,11.00,2.21,1.00,0.20,755.00,510.00,67.55
1,40,561.00,436.00,77.72,107.00,19.07,15.00,2.67,3.00,0.53,825.00,586.00,71.03
1,41,328.00,285.00,86.89,32.00,9.76,9.00,2.74,2.00,0.61,475.00,337.00,70.95
1,42,181.00,151.00,83.43,23.00,12.71,4.00,2.21,3.00,1.66,270.00,183.00,67.78
1,43,352.00,298.00,84.66,43.00,12.22,9.00,2.56,2.00,0.57,556.00,356.00,64.03
1,44,506.00,435.00,85.97,59.00,11.66,9.00,1.78,3.00,0.59,650.00,511.00,78.62
2,1,647.00,523.00,80.83,95.00,14.68,23.00,3.55,6.00,0.93,906.00,658.00,72.63
2,2,465.00,313.00,67.31,138.00,29.68,5.00,1.08,9.00,1.94,595.00,470.00,78.99
2,3,670.00,532.00,79.40,114.00,17.01,16.00,2.39,8.00,1.19,900.00,680.00,75.56
2,4,520.00,431.00,82.88,78.00,15.00,8.00,1.54,3.00,0.58,746.00,528.00,70.78
2,5,693.00,560.00,80.81,110.00,15.87,19.00,2.74,4.00,0.58,935.00,706.00,75.51
2,6,555.00,443.00,79.82,85.00,15.32,19.00,3.42,8.00,1.44,769.00,565.00,73.47
2,7,553.00,424.00,76.67,104.00,18.81,14.00,2.53,11.00,1.99,"1,477.00",569.00,38.52
2,8,690.00,540.00,78.26,111.00,16.09,32.00,4.64,7.00,1.01,"1,020.00",695.00,68.14
2,9,540.00,345.00,63.89,177.00,32.78,15.00,2.78,3.00,0.56,722.00,550.00,76.18
2,10,509.00,301.00,59.14,197.00,38.70,3.00,0.59,8.00,1.57,643.00,518.00,80.56
2,11,629.00,393.00,62.48,226.00,35.93,7.00,1.11,3.00,0.48,801.00,645.00,80.52
2,12,542.00,423.00,78.04,106.00,19.56,10.00,1.85,3.00,0.55,755.00,559.00,74.04
2,13,506.00,345.00,68.18,151.00,29.84,4.00,0.79,6.00,1.19,672.00,522.00,77.68
2,14,613.00,477.00,77.81,118.00,19.25,14.00,2.28,4.00,0.65,831.00,619.00,74.49
2,15,563.00,457.00,81.17,87.00,15.45,14.00,2.49,5.00,0.89,819.00,574.00,70.09
2,16,522.00,439.00,84.10,65.00,12.45,14.00,2.68,4.00,0.77,790.00,527.00,66.71
2,17,675.00,550.00,81.48,107.00,15.85,13.00,1.93,5.00,0.74,915.00,686.00,74.97
2,18,571.00,397.00,69.53,161.00,28.20,9.00,1.58,4.00,0.70,747.00,577.00,77.24
2,19,451.00,273.00,60.53,170.00,37.69,2.00,0.44,6.00,1.33,577.00,457.00,79.20
2,20,667.00,463.00,69.42,189.00,28.34,13.00,1.95,2.00,0.30,993.00,675.00,67.98
2,21,609.00,502.00,82.43,89.00,14.61,14.00,2.30,4.00,0.66,840.00,614.00,73.10
2,22,633.00,420.00,66.35,204.00,32.23,6.00,0.95,3.00,0.47,830.00,640.00,77.11
2,23,421.00,249.00,59.14,169.00,40.14,1.00,0.24,2.00,0.48,527.00,426.00,80.83
2,24,544.00,378.00,69.49,149.00,27.39,11.00,2.02,6.00,1.10,704.00,558.00,79.26
